type,omnianame,spinename,peganame,freshness,typelimit,typesourceTimeZone,typetargetTimeZone,typename
DateTime,cep_customer_features.cmse_low_lat_hl_app_last_updt_date,HL_LAST_APPT_UPDT_DATE,HLApplicationLastUpdateDate,P1D,,Australia/Sydney,Australia/Sydney,
String,cep_customer_features.gdw_hl_lend_name,HL_LENDER_NAME,HLLenderName,P1D,255,,,
String,cep_customer_features.gdw_hl_lend_phon,HL_LENDER_PHONE,HLLenderPhone,P1D,64,,,
String,cep_customer_features.gdw_hl_lend_type,HL_LENDER_TYPE,HLLenderType,P1D,255,,,
Integer,cep_customer_features.hls_hl_low_doc_cnt,HL_LOW_DOC_CNT,CountLowDocHL,P2D,,,,
DenseDate,cep_customer_features.hls_hl_low_doc_strt_date_min,HL_LOW_DOC_START_DATE,MinStartDateLowDocHL,P2D,,,,
DateTime,cep_customer_features.cmse_low_lat_hlm_app_ltst_dcln_date,HL_MAINT_APPT_LAST_DECL_DATE,HLMaintLastDeclineDate,P1D,,Australia/Sydney,Australia/Sydney,
Double,cep_customer_features.hl_max_perc_rpay_v2,HL_MAX_RPAY_PERC,HLMaxPercentRepaid,P2D,,,,
Date,cep_customer_features.hl_min_fixd_rate_end_date,HL_MIN_FIX_RATE_END_DATE,HLMinFixedRateEndDate,P2D,,,,
Double,cep_customer_features.hl_min_perc_rpay_v2,HL_MIN_RPAY_PERC,HLMinPercentRepaid,P2D,,,,
Integer,cep_customer_features.hls_hl_nfvr_cnt,HL_NFVR_CNT,CountOfNFVRHL,P2D,,,,
Double,cep_customer_features.hls_hl_nfvr_rdrw_bal_max,HL_NFVR_REDRAW_BAL_MAX,HLNoFeeVRRedrawBalMax,P2D,,,,
Double,cep_customer_features.hls_hl_nfvr_rdrw_bal_min,HL_NFVR_REDRAW_BAL_MIN,HLNoFeeVRRedrawBalMin,P2D,,,,
Integer,cep_customer_features.gdw_hl_non_seek_cnt,HL_NON_SEEK_CNT,CountHLNonSeek,P1D,,,,
Double,cep_customer_features.hl_ofi_trnf_amt,HL_OFI_AMT_LAST_TRANSFER,HLOFIAmtLastTransfer,P2D,,,,
Date,cep_customer_features.hl_ofi_date_last_trnf,HL_OFI_DATE_LAST_TRANSFER,HLOFIDateLastTransfer,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_hl_ofi_flag,HL_OFI_FLAG,HlOfiFlag,P2D,,,,
String,cep_customer_features.hl_ofi_last_trnf_inst,HL_OFI_INST_LAST_TRANSFER,HLOFIInstLastTransfer,P2D,255,,,
BooleanString,cep_customer_features.gdw_trig_not_clsd_hl_last_24_mnth,HL_OFI_REFI_LAST_24_MONTHS,HLOFIRefiLast24Months,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_not_clsd_hl_last_36_mnth,HL_OFI_REFI_LAST_36_MONTHS,HLOFIRefiLast36Months,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_not_clsd_hl_last_48_mnth,HL_OFI_REFI_LAST_48_MONTHS,HLOFIRefiLast48Months,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_not_clsd_hl_last_60_mnth,HL_OFI_REFI_LAST_60_MONTHS,HLOFIRefiLast60Months,P2D,,,,
String,cep_customer_features.cmse_hl_payo_acct_idnn,HL_PAYOUT_RQST_ACCT_ID,HLPayoutRqstAcctID,P2D,50,,,
DateTime,cep_customer_features.cmse_hl_payo_date_v2,HL_PAYOUT_RQST_DATE,HLPayoutRqstDate,P2D,,Australia/Sydney,Australia/Sydney,
Double,hl_retention.ext_refi_180,HL_RETN_EXT_REFI_180,HLRetentionExtRefi180,P1Y,,,,
Double,hl_retention.ext_refi_90,HL_RETN_EXT_REFI_90,HLRetentionExtRefi90,P1Y,,,,
Double,hl_retention.prop_sold_180,HL_RETN_PROP_SOLD_180,HLRetentionPropSold180,P1Y,,,,
Double,hl_retention.prop_sold_90,HL_RETN_PROP_SOLD_90,HLRetentionPropSold90,P1Y,,,,
Integer,cep_customer_features.hls_hl_rsvr_cnt,HL_RSVR_CNT,CountOfRSVRHL,P2D,,,,
Double,cep_customer_features.hls_hl_rsvr_rdrw_bal_max,HL_RSVR_REDRAW_BAL_MAX,HLRateSaverVRRedrawBalMax,P2D,,,,
Double,cep_customer_features.hls_hl_rsvr_rdrw_bal_min,HL_RSVR_REDRAW_BAL_MIN,HLRateSaverVRRedrawBalMin,P2D,,,,
Integer,cep_customer_features.gdw_hl_seek_cnt,HL_SEEK_CNT,CountHLSeek,P1D,,,,
Double,cep_customer_features.hl_sum_amt_brwd,HL_SUM_AMT_BRWD_AMT,HLSumAmountBorrowed,P2D,,,,
Integer,cep_customer_features.hls_hl_svr_cnt,HL_SVR_CNT,CountStdVarRateHL,P2D,,,,
Double,cep_customer_features.hls_hl_svr_rdrw_bal_max,HL_SVR_REDRAW_BAL_MAX,HLStandardVRRedrawBalMax,P2D,,,,
Double,cep_customer_features.hls_hl_svr_rdrw_bal_min,HL_SVR_REDRAW_BAL_MIN,HLStandardVRRedrawBalMin,P2D,,,,
DenseDate,cep_customer_features.cmse_hl_tu_dcln_app_last_updt_date,HL_TOPUP_APPT_LAST_DECL_DATE,HLTopupLastDeclineDate,P2D,,,,
String,cep_customer_features.cmse_hl_tu_app_id,HL_TOP_UP_APPT_ID,HLTopupApplicationId,P2D,20,,,
Integer,cep_customer_features.hls_hl_vbrt_cnt,HL_VBRT_CNT,CountVariableRateHL,P2D,,,,
Integer,cep_customer_features.cmse_hl_vloc_home_buyr_appt_cnt,HL_VLOC_HOME_BUYER_APPT_CNT,HLVLOCApplicationCount,P2D,,,,
Integer,cep_customer_features.cmse_home_seek_flag_cnt,HOME_SEEKER_FLAG_CNT,HomeSeekerFlagCount,P2D,,,,
Date,cep_customer_features.hrds_efft_date,HRDS_EFFT_DATE,FinancialHardshipEfftDate,P2D,,,,
Date,cep_customer_features.inl_app_mobl_logn_date,INL_APP_MOBL_LOGN_DATE,LastMobileLoginDt,P2D,,,,
Date,cep_customer_features.inl_app_tblt_logn_date,INL_APP_TBLT_LOGN_DATE,LastMobileTabletLoginDt,P2D,,,,
Date,cep_customer_features.inl_ntbk_logn_date,INL_NTBK_LOGN_DATE,LastNetBankLoginDt,P2D,,,,
Date,cep_customer_features.inl_ntbk_mobl_logn_date,INL_NTBK_MOBL_LOGN_DATE,LastNetBankLoginDtInMobile,P2D,,,,
Date,cep_customer_features.inl_ntbk_tblt_logn_date,INL_NTBK_TBLT_LOGN_DATE,LastNetBankLoginDtInTablet,P2D,,,,
Integer,cep_customer_features.inl_onln_logn_ntb_all_last_1_mnth_cnt,INL_NTB_LOGN_LAST_1_MNTH_CNT,CountOfNBankLogins1Month,P2D,,,,
Integer,cep_customer_features.gdw_insr_genl_motr_cnt,INSR_GENL_MOTR_CNT,CountMotorInsurance,P2D,,,,
BooleanString,cep_customer_features.ins_revw_last_5_yrs_flag,INS_NOT_REVWD_5_YEARS_F,NoInsReviewedInOver5Years,P2D,,,,
BooleanString,cep_customer_features.invl_emal,INVALID_EMAIL,InvalidEmailAddress,P2D,,,,
BooleanString,cep_customer_features.invl_home_ctct,INVALID_HOME_CONTACT,InvalidHomeContact,P2D,,,,
BooleanString,cep_customer_features.invl_mobl,INVALID_MOBILE_NUMBER,InvalidMobileNumber,P2D,,,,
BooleanString,cep_customer_features.invl_adrs_ctct_flag,INVL_ADRS_CTCT_FLAG,InvalidAdrsContactFlag,P1D,,,,
BooleanString,cep_customer_features.invl_emal_ctct_flag,INVL_EMAL_CTCT_FLAG,InvalidEmailContactFlag,P1D,,,,
BooleanString,cep_customer_features.invl_frst_name_flag,INVL_FRST_NAME_FLAG,InvlFirstNameFlag,P1D,,,,
BooleanString,cep_customer_features.invl_mobl_ctct_flag,INVL_MOBL_CTCT_FLAG,InvlMoblCtctFlag,P1D,,,,
BooleanString,cep_customer_features.invl_phon_ctct_flag,INVL_PHON_CTCT_FLAG,InvlPhonCtctFlag,P1D,,,,
BooleanString,cep_customer_features.iphone_regr_dvic,IPHONE_REGR_DVIC,IPhoneRegrFlag,P2D,,,,
BooleanString,cep_customer_features.iphone_regr_dvic_5plus,IPHONE_REGR_DVIC_5PLUS,IPhone5plusRegrFlag,P2D,,,,
BooleanString,cep_customer_features.crcd_dcln_last_mnth_flag,IS_DECL_CC_LAST_30_DAYS_F,IsDeclinedForCCInLastMonth,P2D,,,,
BooleanString,cep_customer_features.hl_or_pl_dcln_last_mnth_flag,IS_DECL_HL_PL_LST_30_DAYS,IsDeclinedForHLPLInLastMonth,P2D,,,,
BooleanString,cep_customer_features.gdw_ntb_flag,IS_NEW_TO_BANK,IsNewToBanK,P1D,,,,
BooleanString,cep_customer_features.non_prsl_cust_flag,IS_ORG_F,IsCustomerOrganisation,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_prim_ctct_flag,IS_PRIM_CTCT_FLAG,IsPrimaryContactFlag,P2D,,,,
BooleanString,cep_customer_features.gdw_stud_optn,IS_STUDENT,IsStudent,P1D,,,,
BooleanString,cep_customer_features.last_3m_rcv_mony_via_mobl,LAST_3M_RECV_MONY_VIA_MOBL,AmntReceivedViaMobInLst3M,P2D,,,,
BooleanString,cep_customer_features.last_3m_sent_mony_via_mobl,LAST_3M_SENT_MONY_VIA_MOBL,AmountSentViaMobInLst3M,P2D,,,,
Date,cep_customer_features.last_cpln_rslv_date,LAST_CPLN_RSLV_DATE,LastComplaintResolvedDate,P1W,,,,
BooleanString,cep_customer_features.last_cpln_rslv_gt_4w_flag,LAST_CPLN_RSLV_GT_4W_FLAG,LastComplaintResolvedGT4W,P2D,,,,
DateTime,cep_customer_features.sap_crm_fhc_comt_time_max_v2,LAST_FHC_COMT_TIME,LastFHCComplDateTime,P2D,,Australia/Sydney,Australia/Sydney,
String,cep_customer_features.dummy_feature_name,LAST_NAME,LastName,P2D,255,,,
String,cep_customer_features.last_prim_cpln_catg,LAST_PRIM_CPLN_CATG,LastPrimaryComplaintCategory,P2D,100,,,
String,cep_customer_features.last_prim_cpln_scat,LAST_PRIM_CPLN_SCAT,LastPrimaryComplaintSubCategory,P2D,100,,,
String,cep_customer_features.lender_traits_id,LENDER_TRAITS_ID,LenderTraitsId,P1D,50,,,
Double,cep_customer_features.gdw_liqd_cash_baln,LIQD_CASH_BALN,LiquidCashBalance,P2D,,,,
BooleanString,cep_customer_features.locl_busn_bank_cust,LOCL_BUSN_BANK_CUST,LoclBusnBankingCustomer,P1D,,,,
Integer,cep_customer_features.inl_onln_logn_capp_mobl_last_3_mnth_cnt,LOGN_CAPP_MOBL_3MNTH_CNT,CountLoginCAppMobl3M,P2D,,,,
Integer,cep_customer_features.inl_onln_logn_capp_tblt_last_3_mnth_cnt,LOGN_CAPP_TAB_3MNTH_CNT,CountLoginCAppTab3M,P2D,,,,
BooleanString,cep_customer_features.larg_dep_last_7_days,LRGE_DEP_7_DAYS_AMT,IsLargeDepositInLast7Days,P2D,,,,
String,cep_customer_features.ltst_cba_appt_vers,LTST_CBA_APPT_VERS,CBAAppVersion,P2D,30,,,
String,cep_customer_features.mac_memb_segm_c,MAC_MEMB_SEGM_CODE,MacMembSegmCode,P2D,20,,,
Date,cep_customer_features.mac_memb_strt_d,MAC_MEMB_STRT_DATE,MacMembStrtDate,P2D,,,,
Date,cep_customer_features.mac_segm_ases_date,MAC_SEGM_ASES_DATE,MacSegmAsesDate,P1W,,,,
String,cep_customer_features.mac_segm_cohd_cust_id,MAC_SEGM_COHD_CUST_ID,MacSegmCohdCustId,P1W,20,,,
String,cep_customer_features.mac_segm_elgl_c,MAC_SEGM_ELGL,MacSegmElgl,P1W,10,,,
Date,cep_customer_features.mac_segm_elgl_strt_date,MAC_SEGM_ELGL_STRT_DATE,MacMembStrtDate,P1W,,,,
BooleanString,cep_customer_features.mand_do_not_ctct_flag,MANDATORY_DO_NOT_CONTACT_F,MandatoryDoNotContact,P2D,,,,
BooleanString,cep_customer_features.mand_excl_list_flag,MAND_EXCL_LIST_TYPE,MandatoryExclusionList,P1D,,,,
Integer,cep_customer_features.mav_pack_cnt,MAV_PACK_CNT,MavPackCnt,P2D,,,,
Date,cep_customer_features.hls_hl_dtdr_next_due_date_max,MAX_DTDR_DUE_DATE_HL,MaxDueDateHL,P2D,,,,
Date,cep_customer_features.hls_pl_dtdr_next_due_date_max,MAX_DTDR_DUE_DATE_PL,MaxDueDatePL,P2D,,,,
DenseDate,cep_customer_features.crcd_prsl_max_plas_mc_issu_date,MAX_PERS_MC_ISSU_DATE,MaxPersMCIssueDate,P2D,,,,
DenseDate,cep_customer_features.crcd_prsl_max_plas_visa_issu_date,MAX_PERS_VISA_ISSU_DATE,MaxPersVisaIssueDate,P2D,,,,
DenseDate,cep_customer_features.hls_hl_setl_date_max,MAX_SETL_DATE_HL,MaxSetlDateHL,P2D,,,,
DenseDate,cep_customer_features.hls_pl_setl_date_max,MAX_SETL_DATE_PL,MaxSetlDatePL,P2D,,,,
String,cep_customer_features.dummy_feature_name,MIDDLE_NAME,MiddleName,P2D,255,,,
BooleanString,cep_customer_features.gdw_cust_cep_flag_v2,MIGRATED_TO_CEP,MigratedToCEP,P1D,,,,
Date,cep_customer_features.hls_hl_dtdr_next_due_date_min,MIN_DTDR_DUE_DATE_HL,MinDueDateHL,P2D,,,,
Date,cep_customer_features.hls_pl_dtdr_next_due_date_min,MIN_DTDR_DUE_DATE_PL,MinDueDatePL,P2D,,,,
DenseDate,cep_customer_features.crcd_prsl_min_plas_mc_issu_date,MIN_PERS_MC_ISSU_DATE,MinPersMCIssueDate,P2D,,,,
DenseDate,cep_customer_features.crcd_prsl_min_plas_visa_issu_date,MIN_PERS_VISA_ISSU_DATE,MinPersVisaIssueDate,P2D,,,,
DenseDate,cep_customer_features.min_roll_off_io_date_pdct_hl,MIN_ROLL_OFF_IO_DT_HL_DT,MinimumHLIORollOffDates,P2D,,,,
DenseDate,cep_customer_features.hls_hl_setl_date_min,MIN_SETL_DATE_HL,MinSetlDateHL,P2D,,,,
DenseDate,cep_customer_features.hls_pl_setl_date_min,MIN_SETL_DATE_PL,MinSetlDatePL,P2D,,,,
String,cep_customer_features.most_comn_cpln_catg_6m,MOST_COMN_CPLN_CATG_6M,MostCommonComplaintCategory6M,P2D,100,,,
BooleanString,cep_customer_features.mrkt_age_unkn_flag,MRKT_AGE_UNKN_FLAG,MrktAgeUnknFlag,P1D,,,,
BooleanString,cep_customer_features.mrkt_cust_inta_disa_flag,MRKT_CUST_INTA_DISA_FLAG,MrktCustIntaDisaFlag,P1D,,,,
BooleanString,cep_customer_features.mrkt_paty_bkrp_flag,MRKT_PATY_BKRP_FLAG,MrktPatyBankruptFlag,P1D,,,,
BooleanString,cep_customer_features.mrkt_paty_decd_flag,MRKT_PATY_DECD_FLAG,MrktPatyDecdFlag,P1D,,,,
BooleanString,cep_customer_features.mrkt_paty_deem_decd_flag,MRKT_PATY_DEEM_DECD_FLAG,MrktPatyDeemDeceasedFlag,P1D,,,,
BooleanString,cep_customer_features.mrkt_paty_deem_trst_flag,MRKT_PATY_DEEM_TRST_FLAG,MrktPatyDeemTrustFlag,P1D,,,,
BooleanString,cep_customer_features.mrkt_paty_dsbl_flag,MRKT_PATY_DSBL_FLAG,MrktPatyDsblFlag,P1D,,,,
BooleanString,cep_customer_features.mrkt_paty_unsd_flag,MRKT_PATY_UNSD_FLAG,MrktPatyUnsdFlag,P1D,,,,
Double,cep_customer_features.nbsshoulderpriceoffer,NBS_SHOULDER_PRICE_OFFER,NbsShoulderPriceOffer,P1D,,,,
Integer,cep_customer_features.pj_onb_ntb_save_acct_cnt,NETBANK_SAVE_ACCT_CNT,CountNetbankSavingsAccount,P2D,,,,
DenseDate,cep_customer_features.netb_regn_date,NETB_REGN_DATE,NetBankRegnDate,P2D,,,,
BooleanString,cep_customer_features.not_clsd_hl_last_12_mnth,NOT_CLOSED_HL_LAST_12_MONTHS,HLNotClosedInLast12Months,P2D,,,,
BooleanString,cep_customer_features.not_clsd_pl_last_3_mnth,NOT_CLOSED_PL_LAST_3_MONTHS,PLNotClosedInLast3Months,P2D,,,,
BooleanString,cep_customer_features.crcd_dcln_last_mnth_flag,NOT_DECL_CC_LAST_30_DAYS_F,NotDeclinedForCCInLastMonth,P2D,,,,
BooleanString,cep_customer_features.hl_or_pl_dcln_last_mnth_flag,NOT_DECL_HL_PL_LST_30_DAYS,NotDeclinedForHLPLInLastMonth,P2D,,,,
BooleanString,cep_customer_features.ctct_brch_flag,NO_CONTACT_BRANCH_3_MONTHS,NoContactWithBranchLast3Month,P2D,,,,
BooleanString,cep_customer_features.ctct_call_cntr_flag,NO_CONTACT_CALL_C_3_MONTHS_F,NoContactWithCCLast3Months,P2D,,,,
BooleanString,cep_customer_features.no_emal,NO_EMAIL_RECORDED,NoEmailAddressRecorded,P2D,,,,
BooleanString,cep_customer_features.no_fhc_last_12_mnth_flag,NO_FHC_12_MONTHS_F,NoFHCCompletedInLast12Months,P2D,,,,
BooleanString,cep_customer_features.no_fhc_last_6_mnth_flag,NO_FHC_LAST_6_MONTHS,NoFHCInLast6Months,P2D,,,,
BooleanString,cep_customer_features.no_home_ctct,NO_HOME_CONTACT_RECORDED,NoHomeContactRecorded,P2D,,,,
BooleanString,cep_customer_features.lpi_flag,NO_LPI_F,NoLPI,P2D,,,,
BooleanString,cep_customer_features.no_mobl_ctct,NO_MOBILE_RECORDED,NoMobileContactRecorded,P2D,,,,
BooleanString,cep_customer_features.risk_ins_flag,NO_RISK_INS_F,NoRiskInsurance,P2D,,,,
String,cep_customer_features.ntb_2fa_mthd,NTB_2FA_MTHD,Netbank2FAMethod,P1W,10,,,
Integer,cep_customer_features.ntb_saver_actv_acct_cnt,NTB_SAVER_ACTV_ACCT_CNT,NtbSaverActvAcctCnt,P2D,,,,
Integer,cep_customer_features.numb_of_dirc,NUMB_OF_DIRC,BusnNumberOfDirectors,P2D,,,,
Integer,cep_customer_features.numb_of_pror,NUMB_OF_PROR,BusnNumberOfProprietors,P2D,,,,
DateTime,cep_customer_features.inl_offr_busn_esnt_grup,OFFR_BUSI_GROP_INST_LOG_DATE,GWPBusinessLastVisitDate,P2D,,Australia/Sydney,Australia/Sydney,
DateTime,cep_customer_features.inl_offr_crcd_grup,OFFR_CCRD_GROP_INST_LOG_DATE,GWPCreditCardLastVisitDate,P2D,,Australia/Sydney,Australia/Sydney,
DateTime,cep_customer_features.inl_offr_cse_grup,OFFR_CMSC_GROP_INST_LOG_DATE,GWPCommsecLastVisitDate,P2D,,Australia/Sydney,Australia/Sydney,
DateTime,cep_customer_features.inl_offr_hl_grup,OFFR_HLON_GROP_INST_LOG_DATE,GWPHomeLoanLastVisitDate,P2D,,Australia/Sydney,Australia/Sydney,
DateTime,cep_customer_features.inl_offr_insr_grup,OFFR_INSR_GROP_INST_LOG_DATE,GWPInsuranceLastVisitDate,P2D,,Australia/Sydney,Australia/Sydney,
DateTime,cep_customer_features.inl_offr_intl_grup,OFFR_INTL_GROP_INST_LOG_DATE,GWPInternationalLastVisitDate,P2D,,Australia/Sydney,Australia/Sydney,
DateTime,cep_customer_features.inl_offr_prsl_grup,OFFR_PLON_GROP_INST_LOG_DATE,GWPPersonalLoanLastVisitDate,P2D,,Australia/Sydney,Australia/Sydney,
DateTime,cep_customer_features.inl_offr_supr_invt_grup,OFFR_SUPR_GROP_INST_LOG_DATE,GWPSuperLastVisitDate,P2D,,Australia/Sydney,Australia/Sydney,
DateTime,cep_customer_features.inl_offr_td,OFFR_TERM_DPST_INST_LOG_DATE,GWPTermDepositLastVisitDate,P2D,,Australia/Sydney,Australia/Sydney,
DateTime,cep_customer_features.inl_offr_wlth_grup,OFFR_WLTH_GROP_INST_LOG_DATE,GWPWealthLastVisitDate,P2D,,Australia/Sydney,Australia/Sydney,
BooleanString,cep_customer_features.gdw_trig_ofi_mnly_payt_gt_1k_flag,OFI_MNLY_PAYT_GT_1K_FLAG,OFIMonthlyPaymentOver1kFlag,P2D,,,,
Double,cep_customer_features.pj_onb_prsl_save_acct_baln_sum,ONB_PRSL_SAVE_ACCT_BALN_SUM,ONBPerslSaveAcctBalanceSum,P2D,,,,
Integer,cep_customer_features.pj_onb_prsl_save_acct_cnt,ONB_PRSL_SAVE_ACCT_CNT,ONBPersonalSavingsAcctCount,P2D,,,,
Integer,cep_customer_features.pj_onb_prsl_save_dep_last_3_mnth_cnt,ONB_PRSL_SAV_ACCT_DEP_3M_CNT,ONBPerslSaveAcctDeposit3M,P2D,,,,
Integer,cep_customer_features.pj_onb_prsl_tran_acct_cnt,ONB_PRSL_TRAN_ACCT_CNT,ONBPrslTransactionAcctCount,P2D,,,,
BooleanString,cep_customer_features.cust_12_mnth_no_ins_flag,ONE_YEAR_HL_ANV_NO_INS_F,HL12MonthAnniversaryAndNoIns,P2D,,,,
Integer,cep_customer_features.inl_onln_logn_ntb_all_last_3_mnth_cnt,ONLN_NTB_ALL_CNT_3M,CountOnlnNtbLogn3M,P2D,,,,
BooleanString,cep_customer_features.open_cpln_f,OPEN_CPLN_F,ComplaintOpenFlag,P2D,,,,
BooleanString,cep_customer_features.dirc_mrkt_opt_out_flag,OPT_OUT_DM_F,OptOutDM,P2D,,,,
BooleanString,cep_customer_features.emal_opt_out_flag,OPT_OUT_EMAIL_F,OptOutEmail,P2D,,,,
BooleanString,cep_customer_features.edm_new_pdct_opt_out_flag,OPT_OUT_EMAIL_NEW_PROD,OptOutEmailNewProd,P2D,,,,
BooleanString,cep_customer_features.edm_pdct_upgd_opt_out_flag,OPT_OUT_EMAIL_PROD_UPGD,OptOutEmailProdUpgd,P2D,,,,
BooleanString,cep_customer_features.any_opt_out_flag,OPT_OUT_MKT_F,OptOutMarketing,P2D,,,,
BooleanString,cep_customer_features.sms_any_opt_out_flag,OPT_OUT_SMS_F,OptOutSMS,P2D,,,,
BooleanString,cep_customer_features.sms_new_pdct_opt_out_flag,OPT_OUT_SMS_NEW_PROD,OptOutSMSNewProd,P2D,,,,
BooleanString,cep_customer_features.sms_pdct_upgd_opt_out_flag,OPT_OUT_SMS_PROD_UPGD,OptOutSMSProdUpgd,P2D,,,,
BooleanString,cep_customer_features.osea_flag,OVERSEAS,IsOverseas,P2D,,,,
BooleanString,cep_customer_features.supn_ins_paid_last_3_mnth_flag,PAID_SUPER_INS_3_MONTHS_F,SuperOrInsPaidToOFILast3Months,P2D,,,,
String,cep_customer_features.gcps_crcd_prsl_card_fmly_max_limt,PERSONAL_CARD_FMLY_MAX_LIMIT,PersonalCardFamilyMaxLimit,P2D,255,,,
Double,cep_customer_features.pj_onb_prsl_tran_acct_baln_sum,PERSONAL_TRAN_ACCT_BAL_SUM,SumPrslTransactionAccount,P2D,,,,
Integer,cep_customer_features.pj_term_dep_cnt,PJ_TD_CNT,CountTermDeposit,P2D,,,,
String,cep_customer_features.cmse_pl_app_id,PL_APPT_ID,PLApplicationId,P2D,20,,,
DateTime,cep_customer_features.cmse_low_lat_pl_app_ltst_dcln_date,PL_APPT_LAST_DECL_DATE,PLApplicationLastDeclineDate,P1D,,Australia/Sydney,Australia/Sydney,
String,cep_customer_features.pl_appt_pdct_type,PL_APPT_PDCT_TYPE,AppPLPdctType,P1D,150,,,
BooleanString,cep_customer_features.gdw_trig_pl_appt_with_ofi_hl_flag,PL_APPT_WITH_OFI_HL_FLAG,PLApplnWithOFIHLFlag,P2D,,,,
Integer,cep_customer_features.pl_cnt_num,PL_CNT_NUM,PLCount,P2D,,,,
Integer,cep_customer_features.hls_pl_dtdr_flag_cnt,PL_DTDR_CNT,CountDirectDebitsPL,P2D,,,,
String,cep_customer_features.hls_pl_dtdr_payt_freq,PL_DTDR_FREQ,PLRepayFreq,P2D,255,,,
Integer,cep_customer_features.hls_pl_fxrt_cnt,PL_FXRT_CNT,CountFixedRatePL,P2D,,,,
Integer,cep_customer_features.cmse_pl_app_chnl_id,PL_LAST_APPT_CHNL_ID,PLApplicationChannel,P2D,,,,
Integer,cep_customer_features.cmse_pl_app_ltst_stus,PL_LAST_APPT_STUS_CODE,PLApplicationStatus,P2D,,,,
DenseDateTime,cep_customer_features.cmse_pl_app_last_updt_date,PL_LAST_APPT_UPDT_DATE,PLApplicationLastUpdateDate,P2D,,Australia/Sydney,Australia/Sydney,
Integer,cep_customer_features.cmse_low_lat_pl_app_chnl_id,PL_LST_APPT_CHNL_ID,PLAppChannel,P1D,,,,
String,cep_customer_features.cmse_low_lat_pl_app_id,PL_LST_APPT_ID,PLAppID,P1D,25,,,
Integer,cep_customer_features.cmse_low_lat_pl_app_ltst_stus,PL_LST_APPT_STUS_CODE,PLAppStatus,P1D,,,,
String,cep_customer_features.cmse_low_lat_pl_app_ltst_stus_desc,PL_LST_APPT_STUS_DESC,PLLastApplicationStatusDesc,P1D,100,,,
DateTime,cep_customer_features.cmse_low_lat_pl_app_last_updt_date,PL_LST_APPT_UPDT_DATE,PLAppLastUpdateDate,P1D,,Australia/Sydney,Australia/Sydney,
String,cep_customer_features.pl_main_loan_purp,PL_MAIN_LOAN_PURP,PLMainLoanPurpose,P1D,150,,,
Double,cep_customer_features.pl_max_perc_rpay_v2,PL_MAX_RPAY_PERC,PLMaxPercentRepaid,P2D,,,,
Double,cep_customer_features.pl_min_perc_rpay_v2,PL_MIN_RPAY_PERC,PLMinPercentRepaid,P2D,,,,
Double,cep_customer_features.pl_sum_acct_baln,PL_SUM_ACCT_BALN,PersonalLoanAccountBalance,P2D,,,,
Double,cep_customer_features.pl_sum_amt_brwd,PL_SUM_AMT_BRWD_AMT,PLSumAmountBorrowed,P2D,,,,
Integer,cep_customer_features.hls_pl_vbrt_cnt,PL_VBRT_CNT,CountVariableRatePL,P2D,,,,
String,cep_customer_features.prtf_idnn,PORTFOLIO_ID,PortfolioId,P1D,255,,,
String,cep_customer_features.dummy_feature_name,PREFEERED_NAME,PreferredName,P2D,255,,,
BooleanString,cep_customer_features.gdw_trig_prme_bnkg_cust,PREMIER_BNKNG_CUST,PremierBankingCustomer,P2D,,,,
String,cep_customer_features.premier_oun,PREMIER_OUN,PremierOun,P2D,20,,,
Double,cep_customer_features.prev_minu_one_mnth_slry,PREV_MNTH_MINUS_ONE_SLRY_AMT,PreviousMonthMinusOneSalary,P2D,,,,
Double,cep_customer_features.prev_minu_two_mnth_slry,PREV_MNTH_MINUS_TWO_SLRY_AMT,PreviousMonthMinusTwoSalary,P2D,,,,
Double,cep_customer_features.prev_mnth_slry,PREV_MNTH_SLRY_AMT,PreviousMonthSalary,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_pre_slct_crcd_flag,PRE_SELECT_CREDIT_CARD_FLAG,PreSelectCreditCard,P2D,,,,
Date,cep_customer_features.gdw_prim_empt_semp_date,PRIM_EMPT_SEMP_DATE,PrimEmptSempDate,P2D,,,,
BooleanString,cep_customer_features.prmr_flag,PRMR_FLAG,PremierCustomerFlag,P1D,,,,
OmniaModel,cep_models.prop_modl_bpay,PROPENSITY_MODEL_BPAY,PropensityBpay,P4D,,,,Bpay
Model,cep_customer_features.prop_modl_cr_lmit_incs,PROPENSITY_MODEL_CLI_SCORE,PropensityCLI,P4D,,,,
OmniaModel,cep_models.prop_modl_prem_fhc,PROPENSITY_MODEL_FHC_PR,PropensityFHCPremier,P1Y,,,,FHCMass2015
Model,cep_customer_features.prop_modl_hl,PROPENSITY_MODEL_HL_SCORE,PropensityHomeLoans,P1Y,,,,
OmniaModel,cep_models.prop_modl_miss_cust_dtls,PROPENSITY_MODEL_MISSING_DTL,PropensityMissingCustDetail,P1Y,,,,MissCustDetails2015
Model,cep_customer_features.prop_modl_pl,PROPENSITY_MODEL_PL_SCORE,PropensityPersonalLoans,P1Y,,,,
Model,cep_customer_features.prop_modl_ovdr,PROPENSITY_MODEL_POD_SCORE,PropensityPersonalOverdraft,P1Y,,,,
