type,omnianame,spinename,peganame,freshness,typelimit,typesourceTimeZone,typetargetTimeZone,typename
String,cep_customer_features.cibi_insr_unkn,CIBI_INSR_UNKN,CIBIInsurerUnknown,P2D,50,,,
Date,cep_customer_features.cibi_next_rnew_home_date,CIBI_NEXT_RNEW_HOME_DATE,CIBINextRnewHomeDate,P2D,,,,
Date,cep_customer_features.cibi_next_rnew_motr_date,CIBI_NEXT_RNEW_MOTR_DATE,CIBINextRnewMotorDate,P2D,,,,
Date,cep_customer_features.cibi_next_rnew_unkn_date,CIBI_NEXT_RNEW_UNKN_DATE,CIBINextRnewUnknownDate,P2D,,,,
String,cep_customer_features.clg_prop_for_rent_flag,CLG_PROP_FOR_RENT_FLAG,ClgPropForRentFlag,P2D,1,,,
Date,cep_customer_features.clg_prop_for_rent_list_date,CLG_PROP_FOR_RENT_LIST_DATE,ClgPropForRentListDate,P2D,,,,
String,cep_customer_features.clg_prop_for_rent_list_pric,CLG_PROP_FOR_RENT_LIST_PRIC,ClgPropForRentListPrice,P2D,100,,,
String,cep_customer_features.clg_prop_for_rent_titl_flag,CLG_PROP_FOR_RENT_TITL_FLAG,ClgPropForRentTitleHolder,P2D,1,,,
String,cep_customer_features.clg_prop_for_sale_detl,CLG_PROP_FOR_SALE_DETL,CglPropForSaleAddressDetail,P2D,100,,,
String,cep_customer_features.clg_prop_for_sale_flag,CLG_PROP_FOR_SALE_FLAG,ClgPropForSaleFlag,P2D,1,,,
Date,cep_customer_features.clg_prop_for_sale_list_date,CLG_PROP_FOR_SALE_LIST_DATE,ClgPropForSaleListDate,P2D,,,,
String,cep_customer_features.clg_prop_for_sale_list_pric,CLG_PROP_FOR_SALE_LIST_PRIC,ClgPropForSaleListPrice,P2D,100,,,
String,cep_customer_features.clg_prop_for_sale_titl_flag,CLG_PROP_FOR_SALE_TITL_FLAG,ClgPropForSaleTitleHolder,P2D,1,,,
String,cep_customer_features.clg_prop_sold_flag,CLG_PROP_SOLD_FLAG,ClgPropSoldFlag,P2D,1,,,
Date,cep_customer_features.clg_prop_sold_list_date,CLG_PROP_SOLD_LIST_DATE,ClgPropSoldListDate,P2D,,,,
String,cep_customer_features.clg_prop_sold_list_pric,CLG_PROP_SOLD_LIST_PRIC,ClgPropSoldListPrice,P2D,100,,,
String,cep_customer_features.clg_prop_sold_titl_flag,CLG_PROP_SOLD_TITL_FLAG,ClgPropSoldTitleHolder,P2D,1,,,
String,cep_customer_features.clg_prop_titl_flag,CLG_PROP_TITL_FLAG,ClgPropTitleFlag,P2D,1,,,
BooleanString,cep_customer_features.cli_cnst_flag,CLI_CONSENT_F,IsCLIConsent,P2D,,,,
String,cep_customer_features.clst_brch,CLOSEST_BRANCH,ClosestBranch,P1D,255,,,
BooleanString,cep_customer_features.clse_cpln_extl_dspt_rslv_f,CLSE_CPLN_EXTL_DSPT_RSLV_F,ComplaintExtlDsptRslvFlag,P2D,,,,
BooleanString,cep_customer_features.clse_cpln_frnt_line_rslv_f,CLSE_CPLN_FRNT_LINE_RSLV_F,ComplaintFrntLineRslvFlag,P2D,,,,
BooleanString,cep_customer_features.clse_cpln_intr_dspt_rslv_f,CLSE_CPLN_INTR_DSPT_RSLV_F,ComplaintIntrDsptRslvFlag,P2D,,,,
BooleanString,cep_customer_features.clse_cpln_qwik_rslv_f,CLSE_CPLN_QWIK_RSLV_F,ComplaintQwikRslvFlag,P2D,,,,
BooleanString,cep_customer_features.clse_multi_cpln_f,CLSE_MULTI_CPLN_F,ComplaintMultiClseFlag,P2D,,,,
Integer,cep_customer_features.cmse_hl_tu_app_chnl_id,CMSE_HL_TU_CHNL_ID,HLTopUpAppChannel,P2D,,,,
DenseDateTime,cep_customer_features.cmse_hl_tu_app_last_updt_date,CMSE_HL_TU_CHNL_LAST_DATE,HLTopUpAppLastDate,P2D,,Australia/Sydney,Australia/Sydney,
Integer,cep_customer_features.cmse_hl_tu_app_ltst_stus,CMSE_HL_TU_LTST_STUS,HLTopUpAppStatus,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_cncl_rate_payt_flag,CNCL_RATE_PAYT_FLAG,CnclRatesPaytFlag,P2D,,,,
Double,cep_customer_features.num_empl,CNT_EMPL_NUM,CountOfEmployers,P2D,,,,
Integer,cep_customer_features.crcd_prsl_cnt_blok_rcls_code_cli,CNT_PRSL_CC_BLOK_RCLS_CLI,CCBlockReclassCodeCountCLI,P2D,,,,
Integer,cep_customer_features.cpln_comp_bynd_past_180_days_cnt,COMP_BYND_PAST_180_DAYS_CNT,CountOfComplaintsBynd180,P2D,,,,
Integer,cep_customer_features.cpln_comp_past_0_to_30_days_cnt,COMP_PAST_0_30_DAYS_CNT,CountOfComplaints0To30,P2D,,,,
Integer,cep_customer_features.cpln_comp_past_120_to_150_days_cnt,COMP_PAST_120_150_DAYS_CNT,CountOfComplaints120To150,P2D,,,,
Integer,cep_customer_features.cpln_comp_past_150_to_180_days_cnt,COMP_PAST_150_180_DAYS_CNT,CountOfComplaints150To180,P2D,,,,
Integer,cep_customer_features.cpln_comp_past_30_to_60_days_cnt,COMP_PAST_30_60_DAYS_CNT,CountOfComplaints30To60,P2D,,,,
Integer,cep_customer_features.cpln_comp_past_60_to_90_days_cnt,COMP_PAST_60_90_DAYS_CNT,CountOfComplaints60To90,P2D,,,,
Integer,cep_customer_features.cpln_comp_past_90_to_120_days_cnt,COMP_PAST_90_120_DAYS_CNT,CountOfComplaints90To120,P2D,,,,
BooleanString,cep_customer_features.cond_aprd_crcd_limt_incs_flag,COND_APPR_CLI_F,CondApprForCCLimitIncrease,P2D,,,,
BooleanString,cep_customer_features.cond_aprd_prsl_ovdr_flag,COND_APPR_PO_F,CondApprForAPersonalOverdraft,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_cond_aprd_crcd_flag,COND_APRD_CREDIT_CARD_FLAG,CondApprovedCreditCard,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_cond_aprd_pl_flag,COND_APRD_PL_FLAG,CondApprovedPersonalLoan,P2D,,,,
BooleanString,cep_customer_features.corp_fncl_serv_cust,CORP_FNCL_SERV_CUST,CorpFnclServCustomers,P1D,,,,
Integer,cep_customer_features.afs_pdct_cnt,COUNT_ACTIVE_AF,AssetFinanceCount,P2D,,,,
Integer,cep_customer_features.sbo_pdct_cnt,COUNT_ACTIVE_SBO,SBOCount,P1D,,,,
Double,cep_customer_features.cnt_prsl_ovdr_acct,COUNT_PRSL_OVDR_ACCT_NUM,CountPersonalOverdraftAccount,P2D,,,,
Double,cep_customer_features.cnt_prsl_save_acct,COUNT_PRSL_SAV_ACCT_NUM,CountPersonalSavingsAccount,P2D,,,,
Double,cep_customer_features.cnt_prsl_trn_acct,COUNT_PRSL_TRAN_ACCT_NUM,CountPersonalTrxAccount,P2D,,,,
Integer,cep_customer_features.cnt_vloc_acct,COUNT_VLOC_NUM,VLOCCount,P2D,,,,
Double,cep_customer_features.cps_band_home,CPS_BAND_HOME,CPSBandHome,P60D,,,,
Double,cep_customer_features.cps_band_motr,CPS_BAND_MOTR,CPSBandMotor,P60D,,,,
Double,cep_customer_features.cps_t_band_home,CPS_T_BAND_HOME,CPSTBandHome,P60D,,,,
Double,cep_customer_features.cps_t_band_motr,CPS_T_BAND_MOTR,CPSTBandMotor,P60D,,,,
Integer,cep_customer_features.cust_chrt_id,CRB_CUSTOMER_COHORT_ID,CRBCustomerCohortID,P1D,,,,
Integer,cep_customer_features.crcd_prsl_cnt_apay_code,CRCD_APAY_CNT,CountCCWithAutopay,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_crcd_appt_with_ofi_hl_flag,CRCD_APPT_WITH_OFI_HL_FLAG,CRCDApplnWithOFlHLFlag,P2D,,,,
Double,cep_customer_features.crcd_prsl_sum_totl_baln_curr,CRCD_PRSL_TOTL_BALN,CreditCardPrslTotalBalance,P2D,,,,
Integer,cep_customer_features.gcps_crcd_prsl_uact_mcrd_cnt,CRCD_PRSL_UACT_MC_CNT,CountUnactivatedPersMC,P2D,,,,
Integer,cep_customer_features.gcps_crcd_prsl_uact_visa_cnt,CRCD_PRSL_UACT_VISA_CNT,CountUnactivatedPersVisa,P2D,,,,
DenseDate,cep_customer_features.crs_compl_date,CRS_COMPL_DATE,CRSCompletionDate,P1D,,,,
BooleanString,cep_customer_features.crs_self_certificated,CRS_SELF_CERTIFICATED,CRSSelfCertificated,P1D,,,,
Double,cep_customer_features.csc_cr_c_risk_aprd_limt,CSC_CC_RISK_APRD_LIMT,CCRiskApprovedLimit,P1M,,,,
String,cep_customer_features.csc_cc_risk_stus,CSC_CC_RISK_STUS,CCRiskApprovalStatus,P1M,250,,,
Double,cep_customer_features.csc_prsl_l_risk_aprd_amt,CSC_PL_RISK_APRD_AMT,PLRiskApprovedAmount,P1M,,,,
String,cep_customer_features.csc_pl_risk_stus,CSC_PL_RISK_STUS,PLRiskApprovalStatus,P1M,250,,,
Date,cep_customer_features.cse_crcd_cli_cnst_date,CSE_CRCD_CLI_CNST_DATE,CLICnstDate,P2D,,,,
BooleanString,cep_customer_features.cse_crcd_cli_cnst_flag,CSE_CRCD_CLI_CNST_FLAG,CCHasCLIConsent,P2D,,,,
BooleanString,cep_customer_features.cse_cust_frau_inda_flag,CSE_CUST_FRAU_INDA_FLAG,FraudFlag,P2D,,,,
BooleanString,cep_customer_features.cse_cust_idnn_tkov_flag,CSE_CUST_IDNN_TKOV_FLAG,VictimIDTakeOverFlag,P2D,,,,
BooleanString,cep_customer_features.cse_cust_resi_stus_flag,CSE_CUST_RESI_STUS_FLAG,CustResidenceStatus,P1D,,,,
Date,cep_customer_features.cse_ltst_proa_inta_dat,CSE_LTST_PROA_INTA_DATE,CommseeProactiveIntaDate,P1D,,,,
BooleanString,cep_customer_features.cse_work_plac_flag,CSE_WORK_PLAC_FLAG,CseWorkPlacFlag,P2D,,,,
DenseDateTime,cep_customer_features.cse_yth_appt_dvic_regr_dtts,CSE_YTH_APPT_DVIC_REGR_DTTS,YouthAppRegTimestamp,P2D,,Australia/Sydney,Australia/Sydney,
BooleanString,cep_customer_features.cse_cust_abn_flag,CUST_ABN_FLAG,CustomerHasAbn,P1D,,,,
BooleanString,cep_customer_features.cust_acn_flag,CUST_ACN_FLAG,CustomerHasAcn,P1D,,,,
Date,cep_customer_features.dummy_feature_name,CUST_BRTH_DAY,Birthdate,P2D,,,,
String,cep_customer_features.cust_busn_unit,CUST_BUSN_UNIT,CustomerBusinessUnit,P2D,80,,,
String,cep_customer_features.cust_cntr_code,CUST_CNTR_CODE,CountryCode,P2D,20,,,
BooleanString,cep_customer_features.cust_crs_flag,CUST_CRS_FLAG,CustCRSFlag,P2D,,,,
String,customer_persona.cust_dominant_vs_idx,CUST_DOMINANT_VS_IDX,CustDominantVsIdx,P2D,251,,,
String,customer_persona.cust_dominant_vs_pop,CUST_DOMINANT_VS_POP,CustDominantVsPop,P2D,250,,,
Date,cep_customer_features.cust_estb_date,CUST_ESTB_DATE,EstablishmentDate,P2D,,,,
